domain,receive_time,serial,seqno,actionflags,is-logging-service,type,subtype,config_ver,time_generated,high_res_timestamp,src,dst,rule,srcloc,dstloc,app,vsys,from,to,inbound_if,outbound_if,time_received,sessionid,repeatcnt,sport,dport,natsport,natdport,flags,flag-pcap,flag-flagged,flag-proxy,flag-url-denied,flag-nat,captive-portal,non-std-dport,transaction,pbf-c2s,pbf-s2c,temporary-match,sym-return,decrypt-mirror,credential-detected,flag-mptcp-set,flag-tunnel-inspected,flag-recon-excluded,flag-wf-channel,proto,action,tunnel,tpadding,cpadding,rule_uuid,s_decrypted,s_encrypted,vpadding,category_of_app,subcategory_of_app,technology_of_app,tunneled_app,risk_of_app,is_saas_of_app,sanctioned_state_of_app,bpadding,dg_hier_level_1,dg_hier_level_2,dg_hier_level_3,dg_hier_level_4,device_name,vsys_id,tunnelid_imsi,parent_session_id,bytes,bytes_sent,bytes_received,packets,start,elapsed,category,traffic_flags,flag-decrypt-forwarded,flag-l7-skipped,pkts_sent,pkts_received,session_end_reason,action_source,assoc_id,chunks,chunks_sent,chunks_received,http2_connection,link_change_count,sdwan_fec_data,offloaded,tunnelid,imsi,monitortag,imei
1,2025/02/26 18:14:20,021201168048,7475684126817781866,0x0,no,TRAFFIC,end,2562,2025/02/26 18:14:20,2025-02-26T18:14:20.507+07:00,187.250.250.132,192.168.10.13,untrunt to trust,Mexico,192.168.0.0-192.168.255.255,insufficient-data,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 18:14:20,2880,1,2872,34954,0,0,0x19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,tcp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,insufficient-data,1,no,no,0,0,0,0,0,PA-440,1,0,0,813,813,0,1,2025/02/26 18:14:14,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,2025/02/26 18:14:20,021201168048,7475684126817781865,0x0,no,TRAFFIC,end,2562,2025/02/26 18:14:20,2025-02-26T18:14:20.507+07:00,181.75.134.212,192.168.10.13,untrunt to trust,Chile,192.168.0.0-192.168.255.255,insufficient-data,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 18:14:20,76644,1,2862,34954,0,0,0x19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,tcp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,insufficient-data,1,no,no,0,0,0,0,0,PA-440,1,0,0,813,813,0,1,2025/02/26 18:14:14,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,2025/02/26 18:14:20,021201168048,7475684126817781864,0x0,no,TRAFFIC,end,2562,2025/02/26 18:14:20,2025-02-26T18:14:20.507+07:00,202.44.65.134,192.168.10.13,untrunt to trust,Thailand,192.168.0.0-192.168.255.255,insufficient-data,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 18:14:20,9291,1,2860,34954,0,0,0x19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,tcp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,insufficient-data,1,no,no,0,0,0,0,0,PA-440,1,0,0,813,813,0,1,2025/02/26 18:14:14,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,2025/02/26 18:14:20,021201168048,7475684126817781863,0x0,no,TRAFFIC,end,2562,2025/02/26 18:14:20,2025-02-26T18:14:20.507+07:00,196.216.109.140,192.168.10.13,untrunt to trust,South Africa,192.168.0.0-192.168.255.255,insufficient-data,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 18:14:20,31225,1,2851,34954,0,0,0x19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,tcp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,insufficient-data,1,no,no,0,0,0,0,0,PA-440,1,0,0,813,813,0,1,2025/02/26 18:14:14,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,2025/02/26 18:14:20,021201168048,7475684126817781862,0x0,no,TRAFFIC,end,2562,2025/02/26 18:14:20,2025-02-26T18:14:20.507+07:00,124.181.44.177,192.168.10.13,untrunt to trust,Australia,192.168.0.0-192.168.255.255,insufficient-data,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 18:14:20,166,1,2848,34954,0,0,0x19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,tcp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,insufficient-data,1,no,no,0,0,0,0,0,PA-440,1,0,0,813,813,0,1,2025/02/26 18:14:14,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,2025/02/26 18:14:20,021201168048,7475684126817781861,0x0,no,TRAFFIC,end,2562,2025/02/26 18:14:20,2025-02-26T18:14:20.507+07:00,21.98.164.73,192.168.10.13,untrunt to trust,United States,192.168.0.0-192.168.255.255,insufficient-data,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 18:14:20,14679,1,2856,34954,0,0,0x19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,tcp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,insufficient-data,1,no,no,0,0,0,0,0,PA-440,1,0,0,813,813,0,1,2025/02/26 18:14:14,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,2025/02/26 18:14:20,021201168048,7475684126817781860,0x0,no,TRAFFIC,end,2562,2025/02/26 18:14:20,2025-02-26T18:14:20.507+07:00,175.149.196.53,192.168.10.13,untrunt to trust,China,192.168.0.0-192.168.255.255,insufficient-data,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 18:14:20,85158,1,2844,34954,0,0,0x19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,tcp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,insufficient-data,1,no,no,0,0,0,0,0,PA-440,1,0,0,813,813,0,1,2025/02/26 18:14:14,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,2025/02/26 18:14:20,021201168048,7475684126817781859,0x0,no,TRAFFIC,end,2562,2025/02/26 18:14:20,2025-02-26T18:14:20.507+07:00,69.212.182.65,192.168.10.13,untrunt to trust,United States,192.168.0.0-192.168.255.255,insufficient-data,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 18:14:20,159391,1,2835,34954,0,0,0x19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,tcp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,insufficient-data,1,no,no,0,0,0,0,0,PA-440,1,0,0,813,813,0,1,2025/02/26 18:14:14,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,2025/02/26 18:14:20,021201168048,7475684126817781858,0x0,no,TRAFFIC,end,2562,2025/02/26 18:14:20,2025-02-26T18:14:20.507+07:00,4.30.143.243,192.168.10.13,untrunt to trust,United States,192.168.0.0-192.168.255.255,insufficient-data,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 18:14:20,130607,1,2834,34954,0,0,0x19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,tcp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,insufficient-data,1,no,no,0,0,0,0,0,PA-440,1,0,0,813,813,0,1,2025/02/26 18:14:14,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,2025/02/26 18:14:20,021201168048,7475684126817781857,0x0,no,TRAFFIC,end,2562,2025/02/26 18:14:20,2025-02-26T18:14:20.507+07:00,57.44.172.98,192.168.10.13,untrunt to trust,Switzerland,192.168.0.0-192.168.255.255,insufficient-data,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 18:14:20,180520,1,2831,34954,0,0,0x19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,tcp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,insufficient-data,1,no,no,0,0,0,0,0,PA-440,1,0,0,813,813,0,1,2025/02/26 18:14:14,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
