cps,kbps,num_active,num_icmp,num_tcp,num_udp,pps,label
4828,1133685,71064,24222,2594,44248,108536,1
0,11525,57,0,34,23,1394,0
0,961294,85,0,63,22,82472,1
0,149749,71,0,40,31,14232,0
8,9459,54,0,31,23,1192,0
26,834316,65387,0,0,65387,71844,1
0,11537,59,0,29,30,1370,0
0,961044,101,0,83,18,82444,1
8,5094,102,0,68,34,796,0
1442,737640,196538,65527,65475,65536,154658,1
11729,569438,187084,65536,56012,65536,150756,1
1455,1150776,60986,60986,0,0,117841,1
1176,1150655,59912,59912,0,0,117828,1
0,14040,59,0,30,29,1770,0
2,14519,61,0,41,20,1936,0
0,10268,60,0,32,28,1212,0
4,836939,65325,0,0,65325,72070,1
3654,1102368,80768,33754,3332,43683,105306,1
4280,1096353,74006,24842,2265,46899,104132,1
0,12365,72,0,46,26,1438,0
2,8621,97,0,67,30,1132,0
2758,749593,196240,65482,65222,65536,152638,1
20242,398174,135611,135611,0,0,46844,2
0,10220,61,0,39,22,1280,0
0,14211,59,0,34,25,1780,0
4030,1137763,88376,30938,2734,54701,109162,1
0,961050,45,0,35,10,82382,1
2,101554,49,0,30,19,9978,0
4202,1105093,82194,24548,4675,52971,105082,1
6662,1195931,67289,21986,1580,43723,115266,1
1520,833934,4415,0,4415,0,71262,2
1500,819942,7838,0,7838,0,70066,2
1482,815063,7960,0,7960,0,69650,2
4590,1106357,71271,22059,2622,46587,105382,1
0,9063,82,0,53,29,1072,0
20358,400044,131603,131603,0,0,47064,2
0,960996,85,0,63,22,82450,1
1826,1137265,61642,61642,0,0,116458,1
0,11504,48,0,29,19,1340,0
1630,1037547,62519,62519,0,0,106244,1
0,961273,251,0,251,0,82130,2
652,961162,18891,0,0,18891,82760,1
20410,400690,130611,130611,0,0,47140,2
10,13495,74,0,46,28,1716,0
0,961277,56,0,47,9,82408,1
390,960829,20267,0,0,20267,82732,1
0,8818,86,0,59,27,1052,0
2,8489,126,0,77,49,1262,0
1830,830206,58694,0,0,58694,71490,1
0,961096,5612,0,5612,0,82080,2
2606,937886,83562,0,0,83562,82060,2
0,961236,40,0,31,9,82398,1
0,961082,42,0,32,10,82414,1
776,1137925,59406,59406,0,0,116526,1
0,961280,64,0,64,0,82106,2
8592,744631,196559,65532,65491,65536,165236,1
