eth_src,eth_dst,eth_type,ip_src,ip_dst,ip_version,ip_ihl,ip_tos,ip_len,ip_id,ip_flags,ip_frag,ip_ttl,ip_proto,ip_chksum,tcp_sport,tcp_dport,tcp_seq,tcp_ack,tcp_dataofs,tcp_reserved,tcp_flags,tcp_window,tcp_chksum,tcp_urgptr,tcp_options,udp_sport,udp_dport,udp_len,udp_chksum,icmp_type,icmp_code,icmp_id,icmp_seq,first_seen,last_seen,packet_count,byte_count,pkt_len_max,pkt_len_min,pkt_len_var,flow_iat,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fin_flag_count,syn_flag_count,rst_flag_count,psh_flag_count,ack_flag_count,urg_flag_count,flow_duration,packets_per_second,bytes_per_second,payload_max
d8:80:83:ff:a5:d1,3c:f9:f0:65:18:f7,2048,192.168.1.164,140.82.114.25,4,5,0,69,7535,DF,0,128,6,7308,44971.0,443.0,4054243064.0,1313224832.0,5.0,0.0,"[<Flag 16 (A)>, <Flag 24 (PA)>]",1023.0,11825.0,0.0,[],,,,,,,,,1740288718.619446,1740288733.3588934,2,138,83,55,"[55, 83]",[14.739447355270386],14.739447355270386,14.739447355270386,14.739447355270386,0.0,0,0,0,1,2,0,14.739447355270386,0.13569029772916552,9.362630543312422,29
3c:f9:f0:65:18:f7,d8:80:83:ff:a5:d1,2048,140.82.114.25,192.168.1.164,4,5,40,40,22956,DF,0,238,6,29251,443.0,44971.0,1313224832.0,4054243093.0,5.0,0.0,"[<Flag 16 (A)>, <Flag 24 (PA)>, <Flag 16 (A)>]",74.0,60904.0,0.0,[],,,,,,,,,1740288718.8686624,1740288733.613082,3,199,79,54,"[66, 79, 54]","[14.490231037139893, 0.25418853759765625]",7.372209787368774,14.490231037139893,0.25418853759765625,10.066402188686203,0,0,0,1,3,0,14.744419574737549,0.2034668089030829,13.496631657237835,25
d8:80:83:ff:a5:d1,3c:f9:f0:65:18:f7,2048,192.168.1.164,40.81.252.176,4,5,0,89,54323,,0,128,17,32530,,,,,,,[],,,,,58782.0,3544.0,69.0,23000.0,,,,,1740288719.6797295,1740288744.6341593,2,206,103,103,"[103, 103]",[24.954429864883423],24.954429864883423,24.954429864883423,24.954429864883423,0.0,0,0,0,0,0,0,24.954429864883423,0.08014609072734041,8.255047344916063,61
3c:f9:f0:65:18:f7,d8:80:83:ff:a5:d1,2048,40.81.252.176,192.168.1.164,4,5,0,137,31294,,0,109,17,60375,,,,,,,[],,,,,3544.0,58782.0,117.0,1081.0,,,,,1740288719.7632506,1740288744.7121866,2,302,151,151,"[151, 151]",[24.948935985565186],24.948935985565186,24.948935985565186,24.948935985565186,0.0,0,0,0,0,0,0,24.948935985565186,0.08016373929361752,12.104724633336245,109
d8:80:83:ff:a5:d1,28:87:ba:66:6c:19,2048,192.168.1.164,192.168.1.153,4,5,0,40,10477,DF,0,128,6,19797,44981.0,7680.0,198167512.0,882161048.0,5.0,0.0,"[<Flag 2 (S)>, <Flag 16 (A)>, <Flag 24 (PA)>, <Flag 16 (A)>, <Flag 17 (FA)>]",1026.0,38841.0,0.0,[],,,,,,,,,1740288721.7234013,1740288721.7234013,5,357,129,54,"[66, 54, 129, 54, 54]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,inf,0.0,1,1,0,1,4,0,0.0,0.0,0.0,75
28:87:ba:66:6c:19,d8:80:83:ff:a5:d1,2048,192.168.1.153,192.168.1.164,4,5,0,40,16844,DF,0,128,6,13430,7680.0,44981.0,882161048.0,198167513.0,5.0,0.0,"[<Flag 18 (SA)>, <Flag 24 (PA)>, <Flag 17 (FA)>, <Flag 16 (A)>]",255.0,39612.0,0.0,[],,,,,,,,,1740288721.7234013,1740288721.7234013,4,303,129,54,"[66, 129, 54, 54]","[0.0, 0.0, 0.0]",0.0,0.0,inf,0.0,1,1,0,1,4,0,0.0,0.0,0.0,75
3c:f9:f0:65:18:f7,01:00:5e:7f:ff:fa,2048,192.168.1.1,239.255.255.250,4,5,0,494,58644,DF,0,4,17,56902,,,,,,,[],,,,,54946.0,1900.0,474.0,35790.0,,,,,1740288723.3466308,1740288723.572683,3,1429,508,456,"[456, 465, 508]","[0.10939431190490723, 0.11665797233581543]",0.11302614212036133,0.11665797233581543,0.10939431190490723,0.00513618354693159,0,0,0,0,0,0,0.22605228424072266,13.27126602624951,6321.54638383685,466
3c:f9:f0:65:18:f7,01:00:5e:7f:ff:fa,2048,192.168.1.1,239.255.255.250,4,5,0,508,58645,DF,0,4,17,56887,,,,,,,[],,,,,44475.0,1900.0,488.0,44464.0,,,,,1740288723.6619108,1740288723.6619108,1,522,522,522,[522],[],0.0,0.0,inf,0.0,0,0,0,0,0,0,0.0,0.0,0.0,480
3c:f9:f0:65:18:f7,01:00:5e:7f:ff:fa,2048,192.168.1.1,239.255.255.250,4,5,0,506,58652,DF,0,4,17,56882,,,,,,,[],,,,,36751.0,1900.0,486.0,52310.0,,,,,1740288723.754907,1740288723.754907,1,520,520,520,[520],[],0.0,0.0,inf,0.0,0,0,0,0,0,0,0.0,0.0,0.0,478
3c:f9:f0:65:18:f7,01:00:5e:7f:ff:fa,2048,192.168.1.1,239.255.255.250,4,5,0,522,58654,DF,0,4,17,56864,,,,,,,[],,,,,39833.0,1900.0,502.0,32408.0,,,,,1740288723.8645968,1740288723.8645968,1,536,536,536,[536],[],0.0,0.0,inf,0.0,0,0,0,0,0,0,0.0,0.0,0.0,494
