Repeat Count,IP Protocol,Bytes,Bytes Sent,Bytes Received,Packets,Elapsed Time (sec),Packets Sent,Packets Received,Risk of app,Label,Packets per second,Bytes per second,Average packet size,Bytes per packet,Packets Sent Ratio,Packets Received Ratio,Bytes Sent Ratio,Bytes Received Ratio
65536.0,icmp,231284340.0,115646580.0,115637760.0,3854739.0,25.0,1927443.0,1927296.0,2.0,DoS,154189.56,9251373.6,60.0,60.0,0.5000190674388072,0.49998093256119286,0.5000190674388072,0.49998093256119286
1.0,tcp,60.0,60.0,0.0,1.0,0.0,1.0,0.0,1.0,DDoS,0.0,0.0,60.0,60.0,1.0,0.0,1.0,0.0
1.0,icmp,60.0,60.0,0.0,1.0,0.0,1.0,0.0,2.0,DDoS,0.0,0.0,60.0,60.0,1.0,0.0,1.0,0.0
65536.0,icmp,78247920.0,39140880.0,39107040.0,1304132.0,9.0,652348.0,651784.0,2.0,DoS,144903.55555555556,8694213.333333334,60.0,60.0,0.5002162357798137,0.4997837642201863,0.5002162357798137,0.4997837642201863
1.0,udp,60.0,60.0,0.0,1.0,0.0,1.0,0.0,3.0,DDoS,0.0,0.0,60.0,60.0,1.0,0.0,1.0,0.0
13673.0,icmp,5946360.0,2973180.0,2973180.0,99106.0,2.0,49553.0,49553.0,2.0,DoS,49553.0,2973180.0,60.0,60.0,0.5,0.5,0.5,0.5
117399.0,icmp,60111720.0,30055860.0,30055860.0,1001862.0,3.0,500931.0,500931.0,2.0,DoS,333954.0,20037240.0,60.0,60.0,0.5,0.5,0.5,0.5
131072.0,icmp,7864320.0,7864320.0,0.0,131072.0,0.0,131072.0,0.0,2.0,DoS,0.0,0.0,60.0,60.0,1.0,0.0,1.0,0.0
65536.0,icmp,3932160.0,3932160.0,0.0,65536.0,0.0,65536.0,0.0,2.0,DoS,0.0,0.0,60.0,60.0,1.0,0.0,1.0,0.0
1.0,udp,60.0,60.0,0.0,1.0,0.0,1.0,0.0,3.0,DDoS,0.0,0.0,60.0,60.0,1.0,0.0,1.0,0.0
65536.0,icmp,3932160.0,3932160.0,0.0,65536.0,0.0,65536.0,0.0,2.0,DoS,0.0,0.0,60.0,60.0,1.0,0.0,1.0,0.0
