domain,receive_time,serial,seqno,actionflags,is-logging-service,type,subtype,config_ver,time_generated,high_res_timestamp,src,dst,rule,srcloc,dstloc,app,vsys,from,to,inbound_if,outbound_if,time_received,sessionid,repeatcnt,sport,dport,natsport,natdport,flags,flag-pcap,flag-flagged,flag-proxy,flag-url-denied,flag-nat,captive-portal,non-std-dport,transaction,pbf-c2s,pbf-s2c,temporary-match,sym-return,decrypt-mirror,credential-detected,flag-mptcp-set,flag-tunnel-inspected,flag-recon-excluded,flag-wf-channel,proto,action,tunnel,tpadding,cpadding,rule_uuid,s_decrypted,s_encrypted,vpadding,category_of_app,subcategory_of_app,technology_of_app,tunneled_app,risk_of_app,is_saas_of_app,sanctioned_state_of_app,bpadding,dg_hier_level_1,dg_hier_level_2,dg_hier_level_3,dg_hier_level_4,device_name,vsys_id,tunnelid_imsi,parent_session_id,bytes,bytes_sent,bytes_received,packets,start,elapsed,category,traffic_flags,flag-decrypt-forwarded,flag-l7-skipped,pkts_sent,pkts_received,session_end_reason,action_source,assoc_id,chunks,chunks_sent,chunks_received,http2_connection,link_change_count,sdwan_fec_data,offloaded,tunnelid,imsi,monitortag,imei
1,12/17/2024 14:16,21201168048,7.44E+18,0x0,no,TRAFFIC,end,2562,12/17/2024 14:16,2024-12-17T14:16:10.897+07:00,171.213.75.132,192.168.10.12,untrunt to trust,China,192.168.0.0-192.168.255.255,incomplete,vsys1,untrust,trust,ethernet1/4,ethernet1/3,12/17/2024 14:16,21394,1,13754,5688,0,0,0x19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,tcp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,incomplete,1,no,no,0,0,0,0,0,PA-440,1,0,0,60,60,0,1,12/17/2024 14:16,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,12/17/2024 14:16,21201168048,7.44E+18,0x0,no,TRAFFIC,end,2562,12/17/2024 14:16,2024-12-17T14:16:10.897+07:00,124.36.244.201,192.168.10.12,untrunt to trust,Japan,192.168.0.0-192.168.255.255,incomplete,vsys1,untrust,trust,ethernet1/4,ethernet1/3,12/17/2024 14:16,131397,1,13748,5688,0,0,0x19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,tcp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,incomplete,1,no,no,0,0,0,0,0,PA-440,1,0,0,60,60,0,1,12/17/2024 14:16,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,12/17/2024 14:16,21201168048,7.44E+18,0x0,no,TRAFFIC,end,2562,12/17/2024 14:16,2024-12-17T14:16:10.897+07:00,86.1.216.198,192.168.10.12,untrunt to trust,United Kingdom,192.168.0.0-192.168.255.255,incomplete,vsys1,untrust,trust,ethernet1/4,ethernet1/3,12/17/2024 14:16,48194,1,13755,5688,0,0,0x19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,tcp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,incomplete,1,no,no,0,0,0,0,0,PA-440,1,0,0,60,60,0,1,12/17/2024 14:16,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,12/17/2024 14:16,21201168048,7.44E+18,0x0,no,TRAFFIC,end,2562,12/17/2024 14:16,2024-12-17T14:16:10.897+07:00,188.7.223.135,192.168.10.12,untrunt to trust,France,192.168.0.0-192.168.255.255,incomplete,vsys1,untrust,trust,ethernet1/4,ethernet1/3,12/17/2024 14:16,185252,1,13750,5688,0,0,0x19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,tcp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,incomplete,1,no,no,0,0,0,0,0,PA-440,1,0,0,60,60,0,1,12/17/2024 14:16,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,12/17/2024 14:16,21201168048,7.44E+18,0x0,no,TRAFFIC,end,2562,12/17/2024 14:16,2024-12-17T14:16:10.897+07:00,14.171.178.108,192.168.10.12,untrunt to trust,Viet Nam,192.168.0.0-192.168.255.255,incomplete,vsys1,untrust,trust,ethernet1/4,ethernet1/3,12/17/2024 14:16,16605,1,13739,5688,0,0,0x19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,tcp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,incomplete,1,no,no,0,0,0,0,0,PA-440,1,0,0,60,60,0,1,12/17/2024 14:16,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,12/17/2024 14:16,21201168048,7.44E+18,0x0,no,TRAFFIC,end,2562,12/17/2024 14:16,2024-12-17T14:16:10.897+07:00,37.254.239.246,192.168.10.12,untrunt to trust,Iran Islamic Republic Of,192.168.0.0-192.168.255.255,incomplete,vsys1,untrust,trust,ethernet1/4,ethernet1/3,12/17/2024 14:16,52855,1,13741,5688,0,0,0x19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,tcp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,incomplete,1,no,no,0,0,0,0,0,PA-440,1,0,0,60,60,0,1,12/17/2024 14:16,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,12/17/2024 14:16,21201168048,7.44E+18,0x0,no,TRAFFIC,end,2562,12/17/2024 14:16,2024-12-17T14:16:10.897+07:00,180.54.56.170,192.168.10.12,untrunt to trust,Japan,192.168.0.0-192.168.255.255,incomplete,vsys1,untrust,trust,ethernet1/4,ethernet1/3,12/17/2024 14:16,76775,1,13737,5688,0,0,0x19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,tcp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,incomplete,1,no,no,0,0,0,0,0,PA-440,1,0,0,60,60,0,1,12/17/2024 14:16,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,12/17/2024 14:16,21201168048,7.44E+18,0x0,no,TRAFFIC,end,2562,12/17/2024 14:16,2024-12-17T14:16:10.897+07:00,166.57.101.194,192.168.10.12,untrunt to trust,United States,192.168.0.0-192.168.255.255,incomplete,vsys1,untrust,trust,ethernet1/4,ethernet1/3,12/17/2024 14:16,74781,1,13727,5688,0,0,0x19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,tcp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,incomplete,1,no,no,0,0,0,0,0,PA-440,1,0,0,60,60,0,1,12/17/2024 14:16,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,12/17/2024 14:16,21201168048,7.44E+18,0x0,no,TRAFFIC,end,2562,12/17/2024 14:16,2024-12-17T14:16:10.897+07:00,148.84.89.110,192.168.10.12,untrunt to trust,United States,192.168.0.0-192.168.255.255,incomplete,vsys1,untrust,trust,ethernet1/4,ethernet1/3,12/17/2024 14:16,12652,1,13721,5688,0,0,0x19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,tcp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,incomplete,1,no,no,0,0,0,0,0,PA-440,1,0,0,60,60,0,1,12/17/2024 14:16,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,12/17/2024 14:16,21201168048,7.44E+18,0x0,no,TRAFFIC,end,2562,12/17/2024 14:16,2024-12-17T14:16:10.897+07:00,49.222.18.58,192.168.10.12,untrunt to trust,China,192.168.0.0-192.168.255.255,incomplete,vsys1,untrust,trust,ethernet1/4,ethernet1/3,12/17/2024 14:16,107292,1,13716,5688,0,0,0x19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,tcp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,incomplete,1,no,no,0,0,0,0,0,PA-440,1,0,0,60,60,0,1,12/17/2024 14:16,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
