Domain,Receive Time,Serial #,Type,Threat/Content Type,Config Version,Generate Time,Source address,Destination address,NAT Source IP,NAT Destination IP,Rule,Source User,Destination User,Application,Virtual System,Source Zone,Destination Zone,Inbound Interface,Outbound Interface,Log Action,Time Logged,Session ID,Repeat Count,Source Port,Destination Port,NAT Source Port,NAT Destination Port,Flags,IP Protocol,Action,Bytes,Bytes Sent,Bytes Received,Packets,Start Time,Elapsed Time (sec),Category,Unnamed: 38,Sequence Number,Action Flags,Source Country,Destination Country,Unnamed: 43,Packets Sent,Packets Received,Session End Reason,DG Hierarchy Level 1,DG Hierarchy Level 2,DG Hierarchy Level 3,DG Hierarchy Level 4,Virtual System Name,Device Name,Action Source,Source VM UUID,Destination VM UUID,Tunnel ID/IMSI,Monitor Tag/IMEI,Parent Session ID,Parent Session Start Time,Tunnel,SCTP Association ID,SCTP Chunks,SCTP Chunks Sent,SCTP Chunks Received,UUID for rule,HTTP/2 Connection,link_change_count,policy_id,link_switches,sdwan_cluster,sdwan_device_type,sdwan_cluster_type,sdwan_site,dynusergroup_name,XFF address,Source Device Category,Source Device Profile,Source Device Model,Source Device Vendor,Source Device OS Family,Source Device OS Version,Source Hostname,Source Mac Address,Destination Device Category,Destination Device Profile,Destination Device Model,Destination Device Vendor,Destination Device OS Family,Destination Device OS Version,Destination Hostname,Destination Mac Address,Container ID,POD Namespace,POD Name,Source External Dynamic List,Destination External Dynamic List,Host ID,Serial Number,Source Dynamic Address Group,Destination Dynamic Address Group,session_owner,High Res Timestamp,nssai_sst,nssai_sd,Subcategory of app,Category of app,Technology of app,Risk of app,Characteristic of app,Container of app,Tunneled app,SaaS of app,Sanctioned State of app,offloaded
1,2025/03/03 14:10:17,21201168048,TRAFFIC,end,2562,2025/03/03 14:10:17,133.55.191.243,192.168.10.12,,,untrunt to trust,,,ping,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 14:10:17,94163,1,0,0,0,0,0x100019,icmp,allow,60,60,0,1,2025/03/03 14:09:31,0,any,,7477476231987234387,0x0,Japan,192.168.0.0-192.168.255.255,,1,0,aged-out,0,0,0,0,,PA-440,from-policy,,,0,,0,,,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T14:10:17.574+07:00,,,internet-utility,general-internet,network-protocol,2,"has-known-vulnerability,tunnel-other-application,pervasive-use",,untunneled,no,no,0
1,2025/03/03 14:10:19,21201168048,TRAFFIC,end,2562,2025/03/03 14:10:19,156.150.220.248,192.168.10.12,,,untrunt to trust,,,dns-base,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 14:10:19,193458,1,50092,53,0,0,0x19,udp,allow,60,60,0,1,2025/03/03 14:09:49,0,any,,7477476231987252385,0x0,Netherlands,192.168.0.0-192.168.255.255,,1,0,aged-out,0,0,0,0,,PA-440,from-policy,,,0,,0,,,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T14:10:20.362+07:00,,,infrastructure,networking,network-protocol,3,"used-by-malware,has-known-vulnerability,pervasive-use",dns,dns-base,no,no,0
1,2025/03/03 14:10:19,21201168048,TRAFFIC,end,2562,2025/03/03 14:10:19,184.36.16.110,192.168.10.12,,,untrunt to trust,,,dns-base,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 14:10:19,30752,1,49765,53,0,0,0x19,udp,allow,60,60,0,1,2025/03/03 14:09:49,0,any,,7477476231987251128,0x0,United States,192.168.0.0-192.168.255.255,,1,0,aged-out,0,0,0,0,,PA-440,from-policy,,,0,,0,,,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T14:10:19.934+07:00,,,infrastructure,networking,network-protocol,3,"used-by-malware,has-known-vulnerability,pervasive-use",dns,dns-base,no,no,0
1,2025/03/03 14:10:18,21201168048,TRAFFIC,end,2562,2025/03/03 14:10:18,42.109.132.214,192.168.10.12,,,untrunt to trust,,,dns-base,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 14:10:18,132250,1,55525,53,0,0,0x19,udp,allow,60,60,0,1,2025/03/03 14:09:48,0,any,,7477476231987243796,0x0,India,192.168.0.0-192.168.255.255,,1,0,aged-out,0,0,0,0,,PA-440,from-policy,,,0,,0,,,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T14:10:19.365+07:00,,,infrastructure,networking,network-protocol,3,"used-by-malware,has-known-vulnerability,pervasive-use",dns,dns-base,no,no,0
1,2025/03/03 14:10:13,21201168048,TRAFFIC,end,2562,2025/03/03 14:10:13,202.42.155.29,192.168.10.12,,,untrunt to trust,,,dns-base,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 14:10:13,15810,1,28714,53,0,0,0x19,udp,allow,60,60,0,1,2025/03/03 14:09:43,0,any,,7477476231987216994,0x0,Singapore,192.168.0.0-192.168.255.255,,1,0,aged-out,0,0,0,0,,PA-440,from-policy,,,0,,0,,,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T14:10:13.949+07:00,,,infrastructure,networking,network-protocol,3,"used-by-malware,has-known-vulnerability,pervasive-use",dns,dns-base,no,no,0
1,2025/03/03 14:10:18,21201168048,TRAFFIC,end,2562,2025/03/03 14:10:18,106.132.165.156,192.168.10.12,,,untrunt to trust,,,dns-base,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 14:10:18,51911,1,26983,53,0,0,0x19,udp,allow,60,60,0,1,2025/03/03 14:09:48,0,any,,7477476231987241494,0x0,Japan,192.168.0.0-192.168.255.255,,1,0,aged-out,0,0,0,0,,PA-440,from-policy,,,0,,0,,,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T14:10:18.890+07:00,,,infrastructure,networking,network-protocol,3,"used-by-malware,has-known-vulnerability,pervasive-use",dns,dns-base,no,no,0
1,2025/03/03 14:10:19,21201168048,TRAFFIC,end,2562,2025/03/03 14:10:19,142.91.19.192,192.168.10.12,,,untrunt to trust,,,dns-base,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 14:10:19,5620,1,53757,53,0,0,0x19,udp,allow,60,60,0,1,2025/03/03 14:09:49,0,any,,7477476231987252097,0x0,United States,192.168.0.0-192.168.255.255,,1,0,aged-out,0,0,0,0,,PA-440,from-policy,,,0,,0,,,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T14:10:20.011+07:00,,,infrastructure,networking,network-protocol,3,"used-by-malware,has-known-vulnerability,pervasive-use",dns,dns-base,no,no,0
1,2025/03/03 14:10:13,21201168048,TRAFFIC,end,2562,2025/03/03 14:10:13,170.113.65.166,192.168.10.12,,,untrunt to trust,,,dns-base,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 14:10:13,92693,1,62086,53,0,0,0x19,udp,allow,60,60,0,1,2025/03/03 14:09:43,0,any,,7477476231987218957,0x0,United States,192.168.0.0-192.168.255.255,,1,0,aged-out,0,0,0,0,,PA-440,from-policy,,,0,,0,,,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T14:10:14.025+07:00,,,infrastructure,networking,network-protocol,3,"used-by-malware,has-known-vulnerability,pervasive-use",dns,dns-base,no,no,0
1,2025/03/03 14:10:12,21201168048,TRAFFIC,end,2562,2025/03/03 14:10:12,50.218.33.203,192.168.10.12,,,untrunt to trust,,,dns-base,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 14:10:12,98514,1,61827,53,0,0,0x19,udp,allow,60,60,0,1,2025/03/03 14:09:42,0,any,,7477476231987209882,0x0,United States,192.168.0.0-192.168.255.255,,1,0,aged-out,0,0,0,0,,PA-440,from-policy,,,0,,0,,,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T14:10:13.021+07:00,,,infrastructure,networking,network-protocol,3,"used-by-malware,has-known-vulnerability,pervasive-use",dns,dns-base,no,no,0
1,2025/03/03 14:10:13,21201168048,TRAFFIC,end,2562,2025/03/03 14:10:13,42.10.254.252,192.168.10.12,,,untrunt to trust,,,dns-base,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 14:10:13,41683,1,61673,53,0,0,0x19,udp,allow,60,60,0,1,2025/03/03 14:09:43,0,any,,7477476231987220608,0x0,Korea Republic Of,192.168.0.0-192.168.255.255,,1,0,aged-out,0,0,0,0,,PA-440,from-policy,,,0,,0,,,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T14:10:14.380+07:00,,,infrastructure,networking,network-protocol,3,"used-by-malware,has-known-vulnerability,pervasive-use",dns,dns-base,no,no,0
1,2025/03/03 14:10:20,21201168048,TRAFFIC,end,2562,2025/03/03 14:10:20,72.35.22.236,192.168.10.12,,,untrunt to trust,,,ping,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 14:10:20,115499,1,0,0,0,0,0x100019,icmp,allow,60,60,0,1,2025/03/03 14:09:34,0,any,,7477476231987258762,0x0,Canada,192.168.0.0-192.168.255.255,,1,0,aged-out,0,0,0,0,,PA-440,from-policy,,,0,,0,,,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T14:10:20.636+07:00,,,internet-utility,general-internet,network-protocol,2,"has-known-vulnerability,tunnel-other-application,pervasive-use",,untunneled,no,no,0
1,2025/03/03 14:10:18,21201168048,TRAFFIC,end,2562,2025/03/03 14:10:18,32.52.239.225,192.168.10.12,,,untrunt to trust,,,dns-base,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 14:10:18,1689,1,22640,53,0,0,0x19,udp,allow,60,60,0,1,2025/03/03 14:09:47,0,any,,7477476231987238742,0x0,United States,192.168.0.0-192.168.255.255,,1,0,aged-out,0,0,0,0,,PA-440,from-policy,,,0,,0,,,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T14:10:18.521+07:00,,,infrastructure,networking,network-protocol,3,"used-by-malware,has-known-vulnerability,pervasive-use",dns,dns-base,no,no,0
1,2025/03/03 14:10:19,21201168048,TRAFFIC,end,2562,2025/03/03 14:10:19,144.153.4.81,192.168.10.12,,,untrunt to trust,,,dns-base,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 14:10:19,160838,1,21290,53,0,0,0x19,udp,allow,60,60,0,1,2025/03/03 14:09:48,0,any,,7477476231987245782,0x0,United States,192.168.0.0-192.168.255.255,,1,0,aged-out,0,0,0,0,,PA-440,from-policy,,,0,,0,,,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T14:10:19.466+07:00,,,infrastructure,networking,network-protocol,3,"used-by-malware,has-known-vulnerability,pervasive-use",dns,dns-base,no,no,0
1,2025/03/03 14:10:20,21201168048,TRAFFIC,end,2562,2025/03/03 14:10:20,94.26.132.214,192.168.10.12,,,untrunt to trust,,,dns-base,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 14:10:20,153813,1,52861,53,0,0,0x19,udp,allow,60,60,0,1,2025/03/03 14:09:50,0,any,,7477476231987264740,0x0,Russian Federation,192.168.0.0-192.168.255.255,,1,0,aged-out,0,0,0,0,,PA-440,from-policy,,,0,,0,,,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T14:10:21.381+07:00,,,infrastructure,networking,network-protocol,3,"used-by-malware,has-known-vulnerability,pervasive-use",dns,dns-base,no,no,0
