Application,Repeat Count,IP Protocol,Bytes,Bytes Sent,Bytes Received,Packets,Elapsed Time (sec),Packets Sent,Packets Received,Session End Reason,Risk of app,Packets per second,Bytes per second,Average packet size,Label
web-browsing,1,tcp,1947,863,1084,18,46.0,9,9,tcp-fin,4,0.3913042627599428,42.32607775520049,108.16660657410746,3
incomplete,1,tcp,592,592,0,8,11.0,8,0,aged-out,1,0.7272720661163036,53.818132892606464,73.99990750011563,3
web-browsing,1,tcp,300,226,74,4,0.0,3,1,,4,400000.0,30000000.0,74.99981250046875,3
web-browsing,1,tcp,300,226,74,4,0.0,3,1,,4,400000.0,30000000.0,74.99981250046875,3
web-browsing,1,tcp,300,226,74,4,0.0,3,1,,4,400000.0,30000000.0,74.99981250046875,3
web-browsing,1,tcp,1928,850,1078,19,30.0,10,9,tcp-rst-from-server,4,0.6333331222222927,64.26664524445158,101.4736308033522,3
web-browsing,1,tcp,300,226,74,4,0.0,3,1,,4,400000.0,30000000.0,74.99981250046875,3
web-browsing,1,tcp,1823,811,1012,17,60.0,9,8,tcp-rst-from-server,4,0.2833332861111189,30.38332826944529,107.2352310380994,3
web-browsing,1,tcp,301,227,74,4,0.0,3,1,,4,400000.0,30100000.0,75.24981187547031,3
web-browsing,1,tcp,300,226,74,4,0.0,3,1,,4,400000.0,30000000.0,74.99981250046875,3
web-browsing,1,tcp,1576,690,886,14,39.0,8,6,tcp-rst-from-client,4,0.3589742669296751,40.410246048654855,112.57134816332274,3
web-browsing,1,tcp,1610,723,887,14,12.0,8,6,tcp-rst-from-client,4,1.1666656944452547,134.16655486120428,114.99991785720154,3
web-browsing,1,tcp,433,359,74,4,0.0,3,1,,4,400000.0,43300000.0,108.24972937567657,3
web-browsing,1,tcp,301,227,74,4,0.0,3,1,,4,400000.0,30100000.0,75.24981187547031,3
web-browsing,1,tcp,1790,778,1012,17,60.0,9,8,tcp-rst-from-server,4,0.2833332861111189,29.83332836111194,105.294055709379,3
web-browsing,1,tcp,299,225,74,4,0.0,3,1,,4,400000.0,29900000.0,74.7498131254672,3
incomplete,1,tcp,592,592,0,8,11.0,8,0,aged-out,1,0.7272720661163036,53.818132892606464,73.99990750011563,3
web-browsing,1,tcp,433,359,74,4,0.0,3,1,,4,400000.0,43300000.0,108.24972937567657,3
web-browsing,1,tcp,2290,1074,1216,22,54.0,11,11,tcp-fin,4,0.4074073319616051,42.40739955418527,104.090861776881,3
web-browsing,1,tcp,300,226,74,4,0.0,3,1,,4,400000.0,30000000.0,74.99981250046875,3
web-browsing,1,tcp,5895,3028,2867,74,31.0,38,36,tcp-rst-from-client,4,2.38709600416258,190.16122898024872,79.66215139700657,3
incomplete,1,tcp,74,74,0,1,0.0,1,0,aged-out,1,100000.0,7399999.999999999,73.99926000739993,3
incomplete,1,tcp,592,592,0,8,12.0,8,0,aged-out,1,0.6666661111115741,49.33329222225648,73.99990750011563,3
web-browsing,1,tcp,5891,3024,2867,74,31.0,38,36,tcp-rst-from-client,4,2.38709600416258,190.0321967638075,79.60809735025711,3
web-browsing,1,tcp,300,226,74,4,0.0,3,1,,4,400000.0,30000000.0,74.99981250046875,3
web-browsing,1,tcp,300,226,74,4,0.0,3,1,,4,400000.0,30000000.0,74.99981250046875,3
web-browsing,1,tcp,1501,621,880,13,31.0,7,6,tcp-rst-from-server,4,0.4193547034339666,48.419339219568,115.46144964503874,3
web-browsing,1,tcp,301,227,74,4,0.0,3,1,,4,400000.0,30100000.0,75.24981187547031,3
web-browsing,1,tcp,1686,740,946,15,30.0,8,7,tcp-rst-from-server,4,0.4999998333333889,56.199981266672914,112.39992506671662,3
web-browsing,1,tcp,301,227,74,4,0.0,3,1,,4,400000.0,30100000.0,75.24981187547031,3
web-browsing,1,tcp,433,359,74,4,0.0,3,1,,4,400000.0,43300000.0,108.24972937567657,3
web-browsing,1,tcp,2257,1047,1210,23,50.0,12,11,tcp-rst-from-server,4,0.4599999080000184,45.13999097200181,98.13039211722082,3
web-browsing,1,tcp,301,227,74,4,0.0,3,1,,4,400000.0,30100000.0,75.24981187547031,3
web-browsing,1,tcp,1538,658,880,13,30.0,7,6,tcp-rst-from-server,4,0.433333188888937,51.26664957778348,118.30760130184515,3
web-browsing,1,tcp,1594,707,887,14,1.0,8,6,tcp-rst-from-client,4,13.999860001399986,1593.9840601593985,113.85706153067034,3
web-browsing,1,tcp,2288,1072,1216,22,66.0,11,11,tcp-fin,4,0.3333332828282904,34.66666141414221,103.9999527272942,3
web-browsing,1,tcp,299,225,74,4,0.0,3,1,,4,400000.0,29900000.0,74.7498131254672,3
web-browsing,1,tcp,1493,613,880,13,30.0,7,6,tcp-rst-from-server,4,0.433333188888937,49.76665007778331,114.84606550302654,3
web-browsing,1,tcp,301,227,74,4,0.0,3,1,,4,400000.0,30100000.0,75.24981187547031,3
web-browsing,1,tcp,2251,1041,1210,23,50.0,12,11,tcp-rst-from-server,4,0.4599999080000184,45.0199909960018,97.86952266542492,3
web-browsing,1,tcp,300,226,74,4,0.0,3,1,,4,400000.0,30000000.0,74.99981250046875,3
web-browsing,1,tcp,2587,1239,1348,26,87.0,13,13,tcp-fin,4,0.2988505403620068,29.73562876601968,99.49996173078397,3
web-browsing,1,tcp,2573,1225,1348,26,87.0,13,13,tcp-fin,4,0.2988505403620068,29.574709244286293,98.96150039942292,3
web-browsing,1,tcp,301,227,74,4,0.0,3,1,,4,400000.0,30100000.0,75.24981187547031,3
web-browsing,1,tcp,301,227,74,4,0.0,3,1,,4,400000.0,30100000.0,75.24981187547031,3
web-browsing,1,tcp,1496,616,880,13,30.0,7,6,tcp-rst-from-server,4,0.433333188888937,49.86665004444998,115.07683455628111,3
web-browsing,1,tcp,1599,712,887,14,39.0,8,6,tcp-rst-from-client,4,0.3589742669296751,40.99998948718218,114.21420413271132,3
web-browsing,1,tcp,300,226,74,4,0.0,3,1,,4,400000.0,30000000.0,74.99981250046875,3
web-browsing,1,tcp,301,227,74,4,0.0,3,1,,4,400000.0,30100000.0,75.24981187547031,3
web-browsing,1,tcp,2277,1061,1216,22,65.0,11,11,tcp-fin,4,0.3384614863905405,35.03076384142095,103.49995295456684,3
web-browsing,1,tcp,301,227,74,4,0.0,3,1,,4,400000.0,30100000.0,75.24981187547031,3
web-browsing,1,tcp,300,226,74,4,0.0,3,1,,4,400000.0,30000000.0,74.99981250046875,3
web-browsing,1,tcp,300,226,74,4,0.0,3,1,,4,400000.0,30000000.0,74.99981250046875,3
web-browsing,1,tcp,301,227,74,4,0.0,3,1,,4,400000.0,30100000.0,75.24981187547031,3
web-browsing,1,tcp,1614,728,886,14,39.0,8,6,tcp-rst-from-client,4,0.3589742669296751,41.38460477317826,115.28563193883431,3
web-browsing,1,tcp,1692,746,946,15,30.0,8,7,tcp-rst-from-server,4,0.4999998333333889,56.399981200006266,112.79992480005014,3
web-browsing,1,tcp,4243,2763,1480,36,103.0,21,15,tcp-fin,4,0.3495145291733467,41.194170757847495,117.86107837192266,3
web-browsing,1,tcp,433,359,74,4,0.0,3,1,,4,400000.0,43300000.0,108.24972937567657,3
web-browsing,1,tcp,1643,691,952,14,23.0,7,7,tcp-fin,4,0.6086953875237445,71.43475155010802,117.35705903067212,3
web-browsing,1,tcp,1978,894,1084,18,41.0,9,9,tcp-fin,4,0.4390242831648089,48.24389067222178,109.88882783954008,3
web-browsing,1,tcp,433,359,74,4,0.0,3,1,,4,400000.0,43300000.0,108.24972937567657,3
web-browsing,1,tcp,1979,895,1084,18,46.0,9,9,tcp-fin,4,0.3913042627599428,43.02172977788483,109.94438336423148,3
web-browsing,1,tcp,433,359,74,4,0.0,3,1,,4,400000.0,43300000.0,108.24972937567657,3
web-browsing,1,tcp,1316,569,747,10,39.0,6,4,tcp-rst-from-client,4,0.2564101906640536,33.74358109138946,131.5998684001316,3
web-browsing,1,tcp,5766,2906,2860,72,31.0,36,36,tcp-rst-from-server,4,2.322579895941969,185.99994000001936,80.08332221064968,3
web-browsing,1,tcp,4985,3505,1480,42,123.0,27,15,tcp-fin,4,0.3414633868728953,40.52845198955675,118.69044793084572,3
incomplete,1,tcp,74,74,0,1,0.0,1,0,aged-out,1,100000.0,7399999.999999999,73.99926000739993,3
web-browsing,1,tcp,433,359,74,4,0.0,3,1,,4,400000.0,43300000.0,108.24972937567657,3
web-browsing,1,tcp,729,655,74,8,4.0,7,1,,4,1.9999950000125,182.24954437613908,91.1248860938924,3
incomplete,1,tcp,592,592,0,8,12.0,8,0,aged-out,1,0.6666661111115741,49.33329222225648,73.99990750011563,3
web-browsing,1,tcp,301,227,74,4,0.0,3,1,,4,400000.0,30100000.0,75.24981187547031,3
web-browsing,1,tcp,1600,713,887,14,1.0,8,6,tcp-rst-from-client,4,13.999860001399986,1599.9840001599982,114.28563265311954,3
web-browsing,1,tcp,1598,711,887,14,1.0,8,6,tcp-rst-from-client,4,13.999860001399986,1597.9840201597983,114.14277561230314,3
web-browsing,1,tcp,1510,630,880,13,30.0,7,6,tcp-rst-from-server,4,0.433333188888937,50.33331655556115,116.15375680480246,3
web-browsing,1,tcp,655,581,74,7,3.0,6,1,,4,2.333325555581481,218.33260555798148,93.57129489815016,3
incomplete,1,tcp,74,74,0,1,0.0,1,0,aged-out,1,100000.0,7399999.999999999,73.99926000739993,3
web-browsing,1,tcp,300,226,74,4,0.0,3,1,,4,400000.0,30000000.0,74.99981250046875,3
web-browsing,1,tcp,300,226,74,4,0.0,3,1,,4,400000.0,30000000.0,74.99981250046875,3
web-browsing,1,tcp,300,226,74,4,0.0,3,1,,4,400000.0,30000000.0,74.99981250046875,3
incomplete,1,tcp,592,592,0,8,12.0,8,0,aged-out,1,0.6666661111115741,49.33329222225648,73.99990750011563,3
web-browsing,1,tcp,1602,715,887,14,1.0,8,6,tcp-rst-from-client,4,13.999860001399986,1601.9839801601984,114.42848969393592,3
web-browsing,1,tcp,1929,851,1078,19,30.0,10,9,tcp-rst-from-server,4,0.6333331222222927,64.29997856667381,101.52626235459876,3
web-browsing,1,tcp,301,227,74,4,0.0,3,1,,4,400000.0,30100000.0,75.24981187547031,3
web-browsing,1,tcp,301,227,74,4,0.0,3,1,,4,400000.0,30100000.0,75.24981187547031,3
web-browsing,1,tcp,1635,683,952,14,23.0,7,7,tcp-fin,4,0.6086953875237445,71.08692561438016,116.78563086740652,3
web-browsing,1,tcp,301,227,74,4,0.0,3,1,,4,400000.0,30100000.0,75.24981187547031,3
web-browsing,1,tcp,1615,728,887,14,1.0,8,6,tcp-rst-from-client,4,13.999860001399986,1614.9838501614984,115.35706045924252,3
web-browsing,1,tcp,300,226,74,4,0.0,3,1,,4,400000.0,30000000.0,74.99981250046875,3
web-browsing,1,tcp,299,225,74,4,0.0,3,1,,4,400000.0,29900000.0,74.7498131254672,3
web-browsing,1,tcp,1611,724,887,14,38.0,8,6,tcp-rst-from-client,4,0.3684209556786958,42.3947256855985,115.07134637760971,3
web-browsing,1,tcp,1467,646,821,12,8.0,7,5,tcp-rst-from-client,4,1.4999981250023438,183.3747707815365,122.2498981250849,3
web-browsing,1,tcp,433,359,74,4,0.0,3,1,,4,400000.0,43300000.0,108.24972937567657,3
incomplete,1,tcp,74,74,0,1,0.0,1,0,aged-out,1,100000.0,7399999.999999999,73.99926000739993,3
web-browsing,1,tcp,1536,656,880,13,30.0,7,6,tcp-rst-from-server,4,0.433333188888937,51.19998293333902,118.1537552663421,3
web-browsing,1,tcp,433,359,74,4,0.0,3,1,,4,400000.0,43300000.0,108.24972937567657,3
web-browsing,1,tcp,301,227,74,4,0.0,3,1,,4,400000.0,30100000.0,75.24981187547031,3
web-browsing,1,tcp,1454,633,821,12,8.0,7,5,tcp-rst-from-client,4,1.4999981250023438,181.749772812784,121.1665656945286,3
web-browsing,1,tcp,3301,1821,1480,35,102.0,20,15,tcp-fin,4,0.3431372212610567,32.36274192522138,94.31425876735464,3
web-browsing,1,tcp,299,225,74,4,0.0,3,1,,4,400000.0,29900000.0,74.7498131254672,3
web-browsing,1,tcp,1566,679,887,14,1.0,8,6,tcp-rst-from-client,4,13.999860001399986,1565.9843401565984,111.85706295924076,3
web-browsing,1,tcp,1969,891,1078,19,30.0,10,9,tcp-rst-from-server,4,0.6333331222222927,65.63331145556285,103.63152440446083,3
web-browsing,1,tcp,1787,775,1012,17,60.0,9,8,tcp-rst-from-server,4,0.2833332861111189,29.78332836944527,105.11758522494986,3
web-browsing,1,tcp,2573,1225,1348,26,75.0,13,13,tcp-fin,4,0.3466666204444505,34.30666209244505,98.96150039942292,3
web-browsing,1,tcp,1818,806,1012,17,60.0,9,8,tcp-rst-from-server,4,0.2833332861111189,30.29999495000084,106.94111356405084,3
web-browsing,1,tcp,301,227,74,4,0.0,3,1,,4,400000.0,30100000.0,75.24981187547031,3
web-browsing,1,tcp,1606,719,887,14,1.0,8,6,tcp-rst-from-client,4,13.999860001399986,1605.9839401605982,114.71420377556872,3
web-browsing,1,tcp,301,227,74,4,0.0,3,1,,4,400000.0,30100000.0,75.24981187547031,3
web-browsing,1,tcp,1632,680,952,14,27.0,7,7,tcp-fin,4,0.5185183264746939,60.44442205762146,116.57134530618193,3
web-browsing,1,tcp,300,226,74,4,0.0,3,1,,4,400000.0,30000000.0,74.99981250046875,3
web-browsing,1,tcp,2282,1066,1216,22,59.0,11,11,tcp-fin,4,0.3728812927319843,38.67795954610855,103.72722557853383,3
web-browsing,1,tcp,300,226,74,4,0.0,3,1,,4,400000.0,30000000.0,74.99981250046875,3
web-browsing,1,tcp,2255,1045,1210,23,50.0,12,11,tcp-rst-from-server,4,0.4599999080000184,45.0999909800018,98.04343563328884,3
web-browsing,1,tcp,433,359,74,4,0.0,3,1,,4,400000.0,43300000.0,108.24972937567657,3
web-browsing,1,tcp,300,226,74,4,0.0,3,1,,4,400000.0,30000000.0,74.99981250046875,3
web-browsing,1,tcp,433,359,74,4,0.0,3,1,,4,400000.0,43300000.0,108.24972937567657,3
web-browsing,1,tcp,1609,722,887,14,39.0,8,6,tcp-rst-from-client,4,0.3589742669296751,41.25639967784623,114.92848933679332,3
web-browsing,1,tcp,1537,657,880,13,31.0,7,6,tcp-rst-from-server,4,0.4193547034339666,49.58062916753898,118.23067828409364,3
incomplete,1,tcp,74,74,0,1,0.0,1,0,aged-out,1,100000.0,7399999.999999999,73.99926000739993,3
web-browsing,1,tcp,5822,2956,2866,73,31.0,37,36,tcp-rst-from-client,4,2.354837950052274,187.80639103019644,79.75341373240907,3
web-browsing,1,tcp,301,227,74,4,0.0,3,1,,4,400000.0,30100000.0,75.24981187547031,3
web-browsing,1,tcp,2328,1112,1216,22,68.0,11,11,tcp-fin,4,0.3235293641868582,34.23528908304572,105.81813371903012,3
web-browsing,1,tcp,2577,1229,1348,26,75.0,13,13,tcp-fin,4,0.3466666204444505,34.359995418667275,99.11534649409752,3
web-browsing,1,tcp,1617,665,952,14,25.0,7,7,tcp-fin,4,0.5599997760000897,64.67997412801034,115.49991750005891,3
web-browsing,1,tcp,1642,690,952,14,21.0,7,7,tcp-fin,4,0.6666663492065004,78.19043895693383,117.28563051026391,3
web-browsing,1,tcp,2208,998,1210,23,50.0,12,11,tcp-rst-from-server,4,0.4599999080000184,44.15999116800177,95.99995826088772,3
incomplete,1,tcp,592,592,0,8,11.0,8,0,aged-out,1,0.7272720661163036,53.818132892606464,73.99990750011563,3
web-browsing,1,tcp,433,359,74,4,0.0,3,1,,4,400000.0,43300000.0,108.24972937567657,3
web-browsing,1,tcp,5839,2972,2867,74,31.0,38,36,tcp-rst-from-client,4,2.38709600416258,188.3547779500716,78.90539474251422,3
web-browsing,1,tcp,1782,770,1012,17,60.0,9,8,tcp-rst-from-server,4,0.2833332861111189,29.699995050000823,104.82346775090132,3
web-browsing,1,tcp,1500,620,880,13,31.0,7,6,tcp-rst-from-server,4,0.4193547034339666,48.38708116545769,115.38452662728722,3
web-browsing,1,tcp,1689,735,954,15,31.0,8,7,tcp-rst-from-server,4,0.4838708116545769,54.48385339230536,112.59992493338338,3
web-browsing,1,tcp,2279,1063,1216,22,59.0,11,11,tcp-fin,4,0.3728812927319843,38.62711209709964,103.59086200415364,3
web-browsing,1,tcp,153,153,0,2,31.0,2,0,tcp-reuse,4,0.0645161082206102,4.935482278876684,76.49961750191248,3
incomplete,1,tcp,74,74,0,1,0.0,1,0,aged-out,1,100000.0,7399999.999999999,73.99926000739993,3
web-browsing,1,tcp,1609,722,887,14,1.0,8,6,tcp-rst-from-client,4,13.999860001399986,1608.9839101608982,114.92848933679332,3
web-browsing,1,tcp,2596,1248,1348,26,87.0,13,13,tcp-fin,4,0.2988505403620068,29.839077029991145,99.84611544380176,3
web-browsing,1,tcp,433,359,74,4,0.0,3,1,,4,400000.0,43300000.0,108.24972937567657,3
web-browsing,1,tcp,1700,754,946,15,61.0,8,7,tcp-rst-from-server,4,0.2459015990325247,27.868847890352804,113.33325777782817,3
web-browsing,1,tcp,3184,1704,1480,34,102.0,19,15,tcp-fin,4,0.3333333006535979,31.215683214148704,93.6470312802849,3
web-browsing,1,tcp,300,226,74,4,0.0,3,1,,4,400000.0,30000000.0,74.99981250046875,3
web-browsing,1,tcp,1752,799,953,16,2.0,9,7,tcp-rst-from-client,4,7.999960000199999,875.9956200218999,109.49993156254276,3
web-browsing,1,tcp,433,359,74,4,0.0,3,1,,4,400000.0,43300000.0,108.24972937567657,3
web-browsing,1,tcp,655,581,74,7,3.0,6,1,,4,2.333325555581481,218.33260555798148,93.57129489815016,3
web-browsing,1,tcp,301,227,74,4,0.0,3,1,,4,400000.0,30100000.0,75.24981187547031,3
web-browsing,1,tcp,1972,888,1084,18,46.0,9,9,tcp-fin,4,0.3913042627599428,42.86955589792263,109.55549469139184,3
web-browsing,1,tcp,803,729,74,9,5.0,8,1,,4,1.7999964000072002,160.5996788006424,89.2221230865299,3
incomplete,1,tcp,74,74,0,1,0.0,1,0,aged-out,1,100000.0,7399999.999999999,73.99926000739993,3
web-browsing,1,tcp,1412,591,821,12,8.0,7,5,tcp-rst-from-client,4,1.4999981250023438,176.49977937527578,117.66656861119284,3
web-browsing,1,tcp,433,359,74,4,0.0,3,1,,4,400000.0,43300000.0,108.24972937567657,3
web-browsing,1,tcp,1598,711,887,14,1.0,8,6,tcp-rst-from-client,4,13.999860001399986,1597.9840201597983,114.14277561230314,3
incomplete,1,tcp,74,74,0,1,0.0,1,0,aged-out,1,100000.0,7399999.999999999,73.99926000739993,3
web-browsing,1,tcp,433,359,74,4,0.0,3,1,,4,400000.0,43300000.0,108.24972937567657,3
web-browsing,1,tcp,300,226,74,4,0.0,3,1,,4,400000.0,30000000.0,74.99981250046875,3
web-browsing,1,tcp,2177,1026,1151,22,5.0,12,10,tcp-rst-from-client,4,4.399991200017601,435.3991292017416,98.95450047522706,3
web-browsing,1,tcp,300,226,74,4,0.0,3,1,,4,400000.0,30000000.0,74.99981250046875,3
web-browsing,1,tcp,301,227,74,4,0.0,3,1,,4,400000.0,30100000.0,75.24981187547031,3
web-browsing,1,tcp,301,227,74,4,0.0,3,1,,4,400000.0,30100000.0,75.24981187547031,3
incomplete,1,tcp,74,74,0,1,0.0,1,0,aged-out,1,100000.0,7399999.999999999,73.99926000739993,3
incomplete,1,tcp,74,74,0,1,0.0,1,0,aged-out,1,100000.0,7399999.999999999,73.99926000739993,3
web-browsing,1,tcp,301,227,74,4,0.0,3,1,,4,400000.0,30100000.0,75.24981187547031,3
web-browsing,1,tcp,1976,898,1078,19,90.0,10,9,tcp-rst-from-server,4,0.2111110876543236,21.955553116049654,103.9999452631867,3
web-browsing,1,tcp,300,226,74,4,0.0,3,1,,4,400000.0,30000000.0,74.99981250046875,3
web-browsing,1,tcp,1428,607,821,12,8.0,7,5,tcp-rst-from-client,4,1.4999981250023438,178.4997768752789,118.99990083341598,3
web-browsing,1,tcp,433,359,74,4,0.0,3,1,,4,400000.0,43300000.0,108.24972937567657,3
web-browsing,1,tcp,300,226,74,4,0.0,3,1,,4,400000.0,30000000.0,74.99981250046875,3
web-browsing,1,tcp,1691,745,946,15,30.0,8,7,tcp-rst-from-server,4,0.4999998333333889,56.36664787778404,112.73325817782788,3
web-browsing,1,tcp,5896,3029,2867,74,31.0,38,36,tcp-rst-from-client,4,2.38709600416258,190.19348703435904,79.67566490869393,3
web-browsing,1,tcp,1423,602,821,12,8.0,7,5,tcp-rst-from-client,4,1.4999981250023438,177.87477765652793,118.58323451397123,3
web-browsing,1,tcp,299,225,74,4,0.0,3,1,,4,400000.0,29900000.0,74.7498131254672,3
web-browsing,1,tcp,1611,724,887,14,12.0,8,6,tcp-rst-from-client,4,1.1666656944452547,134.24988812509324,115.07134637760971,3
web-browsing,1,tcp,1640,694,946,15,30.0,8,7,tcp-rst-from-server,4,0.4999998333333889,54.66664844445052,109.33326044449304,3
web-browsing,1,tcp,1962,878,1084,18,41.0,9,9,tcp-fin,4,0.4390242831648089,47.853646864964176,108.99993944447807,3
web-browsing,1,tcp,300,226,74,4,0.0,3,1,,4,400000.0,30000000.0,74.99981250046875,3
web-browsing,1,tcp,433,359,74,4,0.0,3,1,,4,400000.0,43300000.0,108.24972937567657,3
web-browsing,1,tcp,433,359,74,4,0.0,3,1,,4,400000.0,43300000.0,108.24972937567657,3
web-browsing,1,tcp,1609,722,887,14,1.0,8,6,tcp-rst-from-client,4,13.999860001399986,1608.9839101608982,114.92848933679332,3
web-browsing,1,tcp,433,359,74,4,0.0,3,1,,4,400000.0,43300000.0,108.24972937567657,3
web-browsing,1,tcp,3183,1703,1480,34,102.0,19,15,tcp-fin,4,0.3333333006535979,31.205879293541244,93.61761952422954,3
web-browsing,1,tcp,2573,1225,1348,26,87.0,13,13,tcp-fin,4,0.2988505403620068,29.574709244286293,98.96150039942292,3
web-browsing,1,tcp,2313,1097,1216,22,64.0,11,11,tcp-fin,4,0.3437499462890708,36.14061935302822,105.13631584712915,3
web-browsing,1,tcp,12425,667,11758,20,19.0,8,12,tcp-rst-from-client,4,1.0526310249310395,653.9470242384083,621.2496893751553,3
web-browsing,1,tcp,1616,664,952,14,21.0,7,7,tcp-fin,4,0.6666663492065004,76.95234430840748,115.42848897965074,3
web-browsing,1,tcp,1978,900,1078,19,90.0,10,9,tcp-rst-from-server,4,0.2111110876543236,21.97777533580274,104.1052083656798,3
web-browsing,1,tcp,301,227,74,4,0.0,3,1,,4,400000.0,30100000.0,75.24981187547031,3
web-browsing,1,tcp,300,226,74,4,0.0,3,1,,4,400000.0,30000000.0,74.99981250046875,3
web-browsing,1,tcp,12485,727,11758,21,39.0,9,12,tcp-rst-from-client,4,0.5384614003945126,320.128123044071,594.5235264173684,3
web-browsing,1,tcp,1691,745,946,15,30.0,8,7,tcp-rst-from-server,4,0.4999998333333889,56.36664787778404,112.73325817782788,3
web-browsing,1,tcp,1554,667,887,14,1.0,8,6,tcp-rst-from-client,4,13.999860001399986,1553.9844601553984,110.99992071434237,3
incomplete,1,tcp,74,74,0,1,0.0,1,0,aged-out,1,100000.0,7399999.999999999,73.99926000739993,3
web-browsing,1,tcp,433,359,74,4,0.0,3,1,,4,400000.0,43300000.0,108.24972937567657,3
web-browsing,1,tcp,433,359,74,4,0.0,3,1,,4,400000.0,43300000.0,108.24972937567657,3
incomplete,1,tcp,74,74,0,1,0.0,1,0,aged-out,1,100000.0,7399999.999999999,73.99926000739993,3
web-browsing,1,tcp,1594,707,887,14,1.0,8,6,tcp-rst-from-client,4,13.999860001399986,1593.9840601593985,113.85706153067034,3
web-browsing,1,tcp,5834,2968,2866,73,31.0,37,36,tcp-rst-from-client,4,2.354837950052274,188.1934876795201,79.91779727153461,3
incomplete,1,tcp,592,592,0,8,11.0,8,0,aged-out,1,0.7272720661163036,53.818132892606464,73.99990750011563,3
web-browsing,1,tcp,1304,557,747,10,39.0,6,4,tcp-rst-from-client,4,0.2564101906640536,33.4358888625926,130.39986960013042,3
web-browsing,1,tcp,1824,812,1012,17,60.0,9,8,tcp-rst-from-server,4,0.2833332861111189,30.399994933334177,107.2940545329091,3
web-browsing,1,tcp,300,226,74,4,0.0,3,1,,4,400000.0,30000000.0,74.99981250046875,3
web-browsing,1,tcp,1549,669,880,13,30.0,7,6,tcp-rst-from-server,4,0.433333188888937,51.63331612222796,119.15375449711192,3
web-browsing,1,tcp,12365,673,11692,19,0.0,8,11,tcp-rst-from-client,4,1900000.0,1236500000.0,650.7891311636151,3
web-browsing,1,tcp,300,226,74,4,0.0,3,1,,4,400000.0,30000000.0,74.99981250046875,3
web-browsing,1,tcp,301,227,74,4,0.0,3,1,,4,400000.0,30100000.0,75.24981187547031,3
web-browsing,1,tcp,301,227,74,4,0.0,3,1,,4,400000.0,30100000.0,75.24981187547031,3
web-browsing,1,tcp,1685,739,946,15,30.0,8,7,tcp-rst-from-server,4,0.4999998333333889,56.16664794445069,112.33325844449438,3
web-browsing,1,tcp,433,359,74,4,0.0,3,1,,4,400000.0,43300000.0,108.24972937567657,3
web-browsing,1,tcp,1615,729,886,14,39.0,8,6,tcp-rst-from-client,4,0.3589742669296751,41.410245792244666,115.35706045924252,3
incomplete,1,tcp,74,74,0,1,0.0,1,0,aged-out,1,100000.0,7399999.999999999,73.99926000739993,3
web-browsing,1,tcp,1928,850,1078,19,90.0,10,9,tcp-rst-from-server,4,0.2111110876543236,21.42221984197557,101.4736308033522,3
web-browsing,1,tcp,1562,675,887,14,12.0,8,6,tcp-rst-from-client,4,1.1666656944452547,130.16655819453484,111.57134887760796,3
web-browsing,1,tcp,1467,646,821,12,0.0,7,5,tcp-rst-from-client,4,1200000.0,146700000.0,122.2498981250849,3
web-browsing,1,tcp,300,226,74,4,0.0,3,1,,4,400000.0,30000000.0,74.99981250046875,3
web-browsing,1,tcp,2256,1046,1210,23,50.0,12,11,tcp-rst-from-server,4,0.4599999080000184,45.1199909760018,98.08691387525484,3
web-browsing,1,tcp,2307,1091,1216,22,59.0,11,11,tcp-fin,4,0.3728812927319843,39.10168828784944,104.86358869836876,3
web-browsing,1,tcp,5886,3019,2867,74,31.0,38,36,tcp-rst-from-client,4,2.38709600416258,189.870906493256,79.54052979182029,3
web-browsing,1,tcp,301,227,74,4,0.0,3,1,,4,400000.0,30100000.0,75.24981187547031,3
web-browsing,1,tcp,1662,710,952,14,27.0,7,7,tcp-fin,4,0.5185183264746939,61.55553275721009,118.71420091842792,3
web-browsing,1,tcp,301,227,74,4,0.0,3,1,,4,400000.0,30100000.0,75.24981187547031,3
web-browsing,1,tcp,1561,674,887,14,1.0,8,6,tcp-rst-from-client,4,13.999860001399986,1560.9843901560982,111.49992035719974,3
web-browsing,1,tcp,300,226,74,4,0.0,3,1,,4,400000.0,30000000.0,74.99981250046875,3
web-browsing,1,tcp,300,226,74,4,0.0,3,1,,4,400000.0,30000000.0,74.99981250046875,3
web-browsing,1,tcp,301,227,74,4,0.0,3,1,,4,400000.0,30100000.0,75.24981187547031,3
incomplete,1,tcp,592,592,0,8,11.0,8,0,aged-out,1,0.7272720661163036,53.818132892606464,73.99990750011563,3
web-browsing,1,tcp,581,507,74,6,2.0,5,1,,4,2.999985000075,290.49854750726246,96.83317194471344,3
web-browsing,1,tcp,433,359,74,4,0.0,3,1,,4,400000.0,43300000.0,108.24972937567657,3
web-browsing,1,tcp,1455,634,821,12,0.0,7,5,tcp-rst-from-client,4,1200000.0,145500000.0,121.24989895841752,3
web-browsing,1,tcp,433,359,74,4,0.0,3,1,,4,400000.0,43300000.0,108.24972937567657,3
web-browsing,1,tcp,803,729,74,9,5.0,8,1,,4,1.7999964000072002,160.5996788006424,89.2221230865299,3
web-browsing,1,tcp,433,359,74,4,0.0,3,1,,4,400000.0,43300000.0,108.24972937567657,3
web-browsing,1,tcp,2680,1332,1348,27,87.0,14,13,tcp-fin,4,0.3103447919143917,30.80459416039148,99.25922249658426,3
