cps,kbps,num_active,num_icmp,num_tcp,num_udp,pps,label
11639,574185,188476,65384,57556,65536,155769,1
0,14279,68,0,40,28,1664,0
170,748414,193030,65536,61958,65536,162370,1
0,12011,63,0,33,30,1434,0
3858,1141023,83925,27446,2127,54352,109670,2
6982,655915,194458,65474,63448,65536,163054,1
3600,1099657,80456,23501,3523,53432,104584,2
3096,1075619,68708,22076,1780,44852,102196,2
3576,1110400,82011,22411,2524,57076,105562,2
0,11972,68,0,44,24,1370,0
0,744149,196523,65536,65451,65536,162970,1
5576,1162368,71794,27598,2975,41221,112222,2
9580,512586,187706,65334,56836,65536,152614,1
0,8152,53,0,30,23,1148,0
8,11676,58,0,41,17,1446,0
2818,575540,186089,65536,55015,65536,154012,1
3830,1080149,72721,21149,2715,48857,101876,2
0,11603,66,0,43,23,1368,0
4,12974,62,0,34,28,1568,0
8,10057,75,0,47,28,1282,0
0,8636,61,0,34,27,1238,0
4148,1115249,90589,30486,4123,55980,106172,2
0,8626,173,0,99,74,1194,0
8,9968,59,0,34,25,1614,0
0,251386,150,0,94,56,23270,0
2,42099,51,0,29,22,4180,0
4512,1145523,77856,24529,2303,51024,110620,2
0,12369,114,0,75,39,1604,0
4978,1109683,83981,27945,3751,52285,106000,2
8126,573681,190043,65446,59062,65536,152976,1
4218,1126690,85193,26000,3920,55273,107507,2
180,743957,193374,65536,62302,65536,145846,1
0,213077,183,0,103,80,19754,0
0,9605,58,0,35,23,1168,0
4982,1186700,81602,22012,2693,56897,114366,2
4216,1156208,85971,27356,4241,54374,110624,2
0,13230,48,0,29,19,1704,0
0,13784,57,0,34,23,1776,0
12,646024,194500,65526,63438,65536,153864,1
6332,1199089,85198,24800,3623,56775,115922,2
0,11803,69,0,40,29,1472,0
3350,1090990,80545,22732,2973,54840,103610,2
8812,652229,195288,65533,64219,65536,146240,1
80,746497,196449,65536,65377,65536,146358,1
8,191761,78,0,49,29,18032,0
5118,577156,194399,65536,63327,65536,155402,1
3602,1084378,90314,28898,4731,56685,103008,2
4576,562083,196346,65385,65425,65536,146878,1
8,10654,84,0,50,34,1362,0
5138,1095216,80685,22904,3383,54398,104206,2
2992,1081865,74559,21443,2536,50580,102702,2
742,743395,196179,65515,65128,65536,158584,1
4016,1088533,70495,21372,2146,46977,102994,2
6468,1170064,65313,20971,1863,42479,112040,2
4756,1195879,78096,30766,3112,44218,116398,2
5311,559745,192568,65536,61496,65536,148510,1
0,7992,143,0,92,51,1068,0
7862,568112,190269,65536,59197,65536,151792,1
5086,1108572,85687,25747,3582,56358,105756,2
2980,1118333,85621,27509,4071,54041,106178,2
3870,1098143,74045,22247,1876,49922,104256,2
6590,730573,190688,65457,59695,65536,165190,1
0,12126,155,0,95,60,1584,0
3021,671085,192585,65536,61513,65536,154665,1
0,10950,82,0,53,29,1280,0
0,9970,58,0,30,28,1238,0
7538,564613,191043,65475,60032,65536,147646,1
