cps,kbps,num_active,num_icmp,num_tcp,num_udp,pps,label
0,8011,55,0,31,24,1074,0
0,255315,146,0,94,52,23708,0
2,10669,51,0,30,21,1256,0
0,10194,88,0,54,34,1222,0
0,14257,74,0,43,31,1666,0
0,68420,48,0,29,19,6570,0
0,9265,67,0,40,27,1128,0
0,12382,45,0,28,17,1474,0
0,9419,54,0,27,27,1158,0
0,13518,144,0,87,57,1824,0
6,9834,53,0,32,21,1362,0
0,13668,52,0,31,21,1838,0
0,11385,54,0,27,27,1730,0
0,10218,83,0,54,29,1236,0
0,16954,70,0,46,24,1946,0
0,13410,62,0,41,21,1572,0
2,7736,54,0,30,24,996,0
0,11177,59,0,29,30,1376,0
0,6515,53,0,30,23,848,0
0,16153,73,0,44,29,2280,0
0,8891,60,0,39,21,1058,0
2,11632,49,0,30,19,1524,0
2,7136,55,0,30,25,976,0
0,13639,57,0,34,23,1828,0
0,10707,62,0,39,23,1272,0
4,9773,54,0,29,25,1260,0
0,10802,61,0,30,31,1684,0
0,15693,56,0,32,24,1978,0
0,11666,88,0,54,34,1384,0
4,13103,77,0,45,32,1648,0
0,9581,142,0,92,50,1180,0
0,10620,55,0,30,25,1278,0
0,10041,54,0,30,24,1188,0
0,10214,145,0,87,58,1224,0
0,13241,71,0,41,30,1538,0
0,8433,72,0,42,30,1032,0
0,11959,61,0,30,31,1434,0
0,11302,60,0,36,24,1416,0
0,11484,62,0,41,21,1370,0
0,218376,66,0,39,27,20344,0
6,10090,74,0,44,30,1396,0
0,9525,63,0,41,22,1200,0
0,11529,132,0,82,50,1402,0
0,16119,56,0,34,22,1842,0
6,7008,100,0,63,37,902,0
0,12043,81,0,52,29,1392,0
0,8161,48,0,31,17,1006,0
6,15184,60,0,32,28,2014,0
0,6649,60,0,37,23,858,0
0,11039,74,0,49,25,1296,0
0,9813,85,0,51,34,1178,0
0,11095,50,0,31,19,1310,0
0,12861,56,0,33,23,1506,0
0,214596,63,0,43,20,20034,0
0,16493,72,0,39,33,1886,0
6,12107,67,0,39,28,1738,0
4,9381,75,0,42,33,1528,0
0,9487,55,0,34,21,1248,0
0,8087,124,0,77,47,1002,0
0,10209,59,0,39,20,1214,0
0,10016,72,0,43,29,1152,0
2,8959,87,0,60,27,1082,0
0,6321,61,0,30,31,862,0
0,9392,143,0,93,50,1122,0
0,9676,140,0,90,50,1250,0
0,13052,58,0,33,25,1532,0
8,8715,60,0,39,21,1140,0
6,11605,91,0,57,34,1520,0
0,11685,67,0,42,25,1396,0
8,8201,65,0,40,25,1070,0
0,8445,58,0,35,23,1252,0
0,13724,75,0,44,31,1604,0
0,233464,65,0,39,26,21826,0
0,13172,65,0,41,24,1644,0
0,13815,53,0,30,23,1746,0
0,11414,156,0,95,61,1384,0
0,17018,64,0,36,28,2140,0
0,15773,49,0,29,20,1804,0
0,11026,74,0,49,25,1414,0
0,9509,141,0,92,49,1250,0
0,11809,48,0,30,18,1424,0
0,18801,57,0,33,24,2256,0
2,13356,61,0,39,22,1530,0
0,15661,73,0,48,25,1776,0
0,14124,64,0,41,23,1700,0
6,11864,65,0,42,23,1392,0
0,11228,67,0,39,28,1312,0
0,6673,85,0,52,33,958,0
0,10731,80,0,48,32,1610,0
0,10356,60,0,37,23,1246,0
0,6928,51,0,32,19,1028,0
0,11785,154,0,92,62,1334,0
0,13513,71,0,42,29,1696,0
0,15514,73,0,44,29,1776,0
0,10508,47,0,31,16,1250,0
4,13344,54,0,32,22,1596,0
0,11791,81,0,49,32,1422,0
0,149749,71,0,40,31,14232,0
0,5770,100,0,57,43,732,0
0,9168,114,0,75,39,1072,0
8,10950,73,0,44,29,1548,0
2,244856,92,0,62,30,22710,0
0,8700,54,0,30,24,1064,0
0,7701,62,0,40,22,956,0
0,16536,99,0,57,42,2044,0
0,14813,61,0,40,21,1756,0
6,10985,71,0,42,29,1338,0
6,14873,71,0,45,26,1954,0
0,14976,53,0,30,23,1892,0
0,158114,55,0,30,25,15048,0
0,8818,86,0,59,27,1052,0
0,15373,75,0,44,31,1798,0
0,10691,51,0,32,19,1298,0
0,13113,48,0,30,18,1540,0
0,11869,76,0,44,32,1378,0
0,250165,80,0,52,28,23400,0
0,13735,73,0,44,29,1598,0
0,10050,77,0,45,32,1462,0
0,11378,73,0,45,28,1482,0
0,13638,53,0,30,23,1726,0
0,12980,73,0,45,28,1894,0
0,12524,61,0,41,20,1462,0
8,8097,121,0,74,47,1074,0
0,220478,65,0,41,24,20610,0
0,12287,58,0,33,25,1426,0
0,10696,50,0,28,22,1442,0
0,12824,99,0,58,41,1440,0
0,12988,57,0,32,25,1688,0
0,14311,78,0,47,31,1994,0
0,226139,65,0,39,26,21056,0
0,252430,59,0,33,26,23472,0
0,12365,72,0,46,26,1438,0
0,40148,60,0,37,23,4304,0
0,12765,50,0,29,21,1850,0
8,8908,59,0,39,20,1146,0
0,13508,70,0,37,33,1640,0
0,12566,66,0,42,24,1702,0
0,12716,114,0,73,41,1492,0
0,11624,64,0,39,25,1298,0
0,232091,68,0,41,27,21954,0
0,12112,81,0,49,32,1402,0
2,13876,49,0,29,20,1648,0
12,13092,73,0,41,32,1750,0
0,162694,76,0,43,33,15266,0
8,248535,84,0,52,32,23644,0
0,13836,100,0,71,29,1590,0
8,8156,177,0,99,78,1054,0
4,5082,101,0,58,43,908,0
0,11378,67,0,41,26,1368,0
10,13012,57,0,40,17,1636,0
8,10183,72,0,39,33,1360,0
6,11130,60,0,31,29,1592,0
0,13734,53,0,30,23,1608,0
0,11598,72,0,43,29,1524,0
0,9880,65,0,39,26,1274,0
8,25390,74,0,46,28,2920,0
0,11901,100,0,71,29,1424,0
0,8288,57,0,34,23,1414,0
0,209123,65,0,33,32,19954,0
0,247981,55,0,32,23,23240,0
0,10066,83,0,49,34,1406,0
0,16734,67,0,41,26,1856,0
0,10354,54,0,34,20,1240,0
0,259132,50,0,31,19,24068,0
4,16199,56,0,31,25,2054,0
0,13287,50,0,28,22,1854,0
2,11355,85,0,54,31,1328,0
0,13681,74,0,45,29,1558,0
0,12550,99,0,57,42,1478,0
0,199926,153,0,94,59,18602,0
0,240087,68,0,41,27,22416,0
0,11165,81,0,52,29,1290,0
2,12875,68,0,43,25,1618,0
8,9922,152,0,92,60,1182,0
0,160749,140,0,91,49,15076,0
0,6918,99,0,56,43,870,0
2,12618,56,0,32,24,1502,0
8,236716,140,0,91,49,22102,0
0,15227,71,0,41,30,2206,0
0,7290,140,0,91,49,1174,0
0,14333,65,0,41,24,1820,0
0,9248,54,0,30,24,1062,0
0,11574,59,0,35,24,1434,0
0,11512,53,0,28,25,1376,0
2,11591,60,0,37,23,1526,0
0,16584,62,0,42,20,2094,0
0,165733,55,0,36,19,15454,0
2,15672,55,0,32,23,1790,0
0,9283,53,0,30,23,1156,0
0,8316,148,0,87,61,1056,0
0,232937,73,0,43,30,21614,0
0,12222,52,0,30,22,1836,0
0,226866,79,0,50,29,21088,0
0,11037,60,0,39,21,1268,0
0,12795,49,0,29,20,1682,0
0,16496,58,0,36,22,1964,0
0,9746,60,0,32,28,1206,0
0,10141,53,0,30,23,1372,0
0,13554,62,0,41,21,1532,0
0,11554,58,0,30,28,1356,0
0,243661,75,0,44,31,22508,0
0,9753,65,0,41,24,1794,0
6,11437,73,0,45,28,1362,0
0,238851,52,0,29,23,22214,0
0,9263,59,0,32,27,1152,0
0,7927,71,0,42,29,990,0
0,13821,59,0,41,18,1588,0
0,12209,58,0,34,24,1490,0
0,11228,57,0,30,27,1314,0
0,11063,77,0,43,34,1350,0
0,13902,52,0,29,23,1544,0
12,15291,86,0,52,34,1848,0
0,17563,49,0,30,19,2124,0
0,8746,95,0,66,29,1424,0
0,10660,95,0,66,29,1404,0
0,12086,63,0,41,22,1404,0
0,13079,63,0,36,27,1510,0
2,16030,60,0,32,28,2070,0
0,9099,127,0,79,48,1362,0
0,8851,73,0,44,29,1092,0
2,11570,49,0,30,19,1710,0
0,12646,101,0,58,43,1526,0
0,177211,149,0,92,57,16966,0
0,14643,73,0,45,28,1754,0
0,15423,78,0,45,33,1838,0
0,13199,66,0,44,22,1500,0
0,245941,55,0,30,25,22912,0
0,11421,59,0,33,26,1398,0
0,14199,101,0,58,43,1594,0
0,210995,105,0,75,30,19688,0
0,12676,53,0,30,23,1756,0
0,12415,100,0,57,43,1576,0
0,15665,57,0,34,23,1858,0
0,10083,144,0,93,51,1448,0
0,13784,57,0,34,23,1776,0
0,66656,55,0,30,25,6438,0
2,12728,56,0,34,22,1534,0
0,11063,66,0,41,25,1312,0
0,13339,62,0,39,23,1568,0
2,13065,59,0,32,27,1594,0
0,13142,71,0,41,30,1512,0
0,13785,61,0,31,30,1582,0
0,8900,58,0,35,23,1140,0
0,12790,66,0,43,23,1760,0
4,11766,57,0,29,28,1446,0
0,16233,72,0,42,30,2096,0
0,7995,96,0,66,30,960,0
0,7999,53,0,30,23,1026,0
8,214220,99,0,57,42,20030,0
0,11953,61,0,38,23,1620,0
0,8525,54,0,30,24,1064,0
8,12224,73,0,48,25,1530,0
0,10757,85,0,53,32,1694,0
0,232352,74,0,44,30,21762,0
0,17414,66,0,42,24,1990,0
0,9671,49,0,29,20,1116,0
0,10453,64,0,39,25,1364,0
4,14488,60,0,32,28,2130,0
0,12905,75,0,45,30,1564,0
4,6264,62,0,37,25,828,0
10,11192,48,0,30,18,1542,0
0,231005,61,0,39,22,21470,0
0,14660,51,0,30,21,1734,0
0,6382,51,0,29,22,954,0
2,11716,66,0,40,26,1434,0
2,8162,61,0,34,27,1076,0
0,12253,75,0,46,29,1654,0
0,13126,72,0,42,30,1678,0
8,10518,69,0,41,28,1382,0
2,13211,73,0,43,30,1606,0
0,11208,61,0,33,28,1334,0
4,225952,74,0,46,28,21396,0
0,9303,63,0,39,24,1140,0
0,12816,57,0,30,27,1974,0
0,9247,67,0,40,27,1166,0
2,11962,59,0,30,29,1434,0
0,10090,62,0,32,30,1190,0
0,16021,68,0,38,30,2146,0
0,236896,50,0,31,19,22052,0
0,11037,100,0,57,43,1242,0
2,13831,50,0,31,19,1646,0
0,5799,58,0,35,23,812,0
0,13024,86,0,54,32,1492,0
0,14076,53,0,30,23,1826,0
2,7622,101,0,68,33,942,0
0,9723,54,0,29,25,1384,0
0,6538,49,0,29,20,1346,0
6,12692,60,0,32,28,1934,0
0,5724,50,0,28,22,894,0
0,12308,61,0,30,31,1520,0
0,11132,62,0,32,30,1296,0
0,15194,53,0,30,23,1828,0
0,14533,99,0,68,31,1654,0
0,11482,53,0,28,25,1376,0
0,140651,51,0,32,19,13428,0
0,15174,73,0,43,30,2040,0
0,251386,150,0,94,56,23270,0
4,9598,58,0,33,25,1284,0
0,12227,59,0,31,28,1460,0
0,103419,73,0,43,30,9764,0
0,11890,62,0,30,32,1448,0
4,13883,57,0,32,25,1812,0
8,12723,81,0,52,29,1542,0
8,11604,66,0,41,25,1452,0
6,9116,87,0,54,33,1112,0
0,14753,84,0,50,34,1672,0
0,12579,54,0,30,24,1624,0
0,208800,55,0,28,27,19658,0
0,6834,55,0,33,22,914,0
0,10804,56,0,31,25,1354,0
4,9019,49,0,31,18,1274,0
0,13101,50,0,29,21,1676,0
