cps,kbps,num_active,num_icmp,num_tcp,num_udp,pps,label
18232,354620,119193,119193,0,0,41720,2
0,11603,66,0,43,23,1368,0
4,12974,62,0,34,28,1568,0
8,10057,75,0,47,28,1282,0
0,8636,61,0,34,27,1238,0
0,961026,68,0,68,0,82088,2
0,8626,173,0,99,74,1194,0
8,9968,59,0,34,25,1614,0
0,251386,150,0,94,56,23270,0
2,42099,51,0,29,22,4180,0
2834,776248,87761,0,0,87761,67920,2
0,12369,114,0,75,39,1604,0
20376,400316,133905,133905,0,0,47096,2
1612,1146472,61641,61641,0,0,117406,1
3528,958000,94002,0,0,94002,83820,2
578,961145,20104,0,0,20104,82764,1
0,213077,183,0,103,80,19754,0
0,9605,58,0,35,23,1168,0
20270,397120,134805,134805,0,0,46720,2
3392,933363,95876,0,0,95876,81662,2
0,13230,48,0,29,19,1704,0
0,13784,57,0,34,23,1776,0
0,961029,65,0,58,7,82420,1
0,961078,69,0,69,0,82088,2
0,11803,69,0,40,29,1472,0
4,960990,251,0,251,0,82078,2
0,961267,108,0,97,11,82396,1
0,961099,45,0,36,9,82382,1
8,191761,78,0,49,29,18032,0
750,961128,19334,0,0,19334,82756,1
20214,396474,133677,133677,0,0,46644,2
1812,1142601,61793,61793,0,0,117002,1
8,10654,84,0,50,34,1362,0
18234,354902,119437,119438,0,0,41754,2
1500,831150,7700,0,7700,0,71024,2
0,961137,60,0,51,9,82432,1
1336,936422,83985,0,0,83985,81932,2
1442,805170,7826,0,7826,0,68804,2
20024,391510,134146,134147,0,0,46060,2
0,961026,11,0,5,6,82368,1
0,7992,143,0,92,51,1068,0
8,839170,65343,0,0,65343,72262,1
3474,942284,92884,0,0,92884,82446,2
3374,933982,99714,0,0,99714,81720,2
1522,829433,8090,0,8090,0,70878,2
0,961253,73,0,39,34,82432,1
0,12126,155,0,95,60,1584,0
0,961054,88,0,74,14,82418,1
0,10950,82,0,53,29,1280,0
0,9970,58,0,30,28,1238,0
1762,827799,63185,0,0,63185,71282,1
0,895828,132,0,132,0,76540,2
3404,935043,97925,0,0,97925,81814,2
0,7701,62,0,40,22,956,0
0,961066,132,0,101,31,82346,1
0,961126,78,0,64,14,82428,1
742,960403,18742,0,0,18742,82686,1
0,12616,96,0,57,39,1456,0
0,961288,83,0,74,9,82412,1
0,15073,75,0,45,30,2072,0
6,7008,94,0,62,32,902,0
1488,1141093,62132,62132,0,0,116848,1
0,961033,108,0,101,7,82440,1
0,1038063,63450,63450,0,0,106296,1
6,13498,88,0,54,34,1738,0
0,961113,84,0,72,12,82402,1
544,960752,20987,0,0,20987,82720,1
986,1145570,59648,59648,0,0,117306,1
94,961020,63,0,47,16,82424,1
0,10937,67,0,41,26,1456,0
1806,1138768,61801,61801,0,0,116610,1
1040,925878,91363,0,0,91363,81008,2
0,11185,51,0,32,19,1328,0
0,961167,87,0,60,27,82418,1
1682,1131093,60537,60537,0,0,115824,1
4,9809,116,0,75,41,1218,0
0,961293,59,0,50,9,82462,1
10,12914,63,0,43,20,1558,0
0,1032945,65524,65524,0,0,105774,1
10,1147398,62825,62825,0,0,117494,1
2854,782190,87629,0,0,87629,68438,2
0,11884,59,0,34,25,1486,0
606,960651,26279,0,0,26279,82718,1
0,85645,60,0,31,29,8100,0
2,9638,58,0,34,24,1436,0
0,5984,50,0,28,22,774,0
1376,1033101,64459,64459,0,0,105790,1
580,960979,20563,0,0,20563,82738,1
694,1131983,59041,59041,0,0,115916,1
554,961231,20149,0,0,20149,82768,1
0,230077,183,0,103,80,21554,0
0,14140,60,0,32,28,1620,0
332,960561,171,0,171,0,82040,2
0,10194,88,0,54,34,1222,0
0,13928,71,0,41,30,1598,0
590,960995,303,0,303,0,82088,2
0,84134,59,0,35,24,8392,0
0,961103,143,0,120,23,82444,1
0,961332,91,0,91,0,82120,2
0,960880,165,0,145,20,82386,1
